setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df2,0.35000000000000003,True,0.35000000000000003,0.0,1.0,0.0,1.0,0.13923886536510974,0.1719939935273709,1.968471878779791e-09,6.9153614028986605e-09,1.0,0.0,3.9254586792188523e-35,2.5809214227676225e-34,0.13923886536510974,0.1719939935273709,1.968471878779791e-09,6.9153614028986605e-09,1.0,0.0,3.9254586792188523e-35,2.5809214227676225e-34,0.9168865430355072,0.00330776294424467,0.9068864929676056,0.004026332667718307
df2,0.4,True,0.4,0.0,1.0,0.0,1.0,0.11558031835132102,0.10333641553898712,1.3230344044036084e-10,8.66687361981419e-10,1.0,0.0,2.401117844440729e-41,1.6975166821274578e-40,0.11558031835132102,0.10333641553898712,1.3230344044036084e-10,8.66687361981419e-10,1.0,0.0,2.401117844440729e-41,1.6975166821274578e-40,0.9178882086277008,0.0042162462910935936,0.9003749072551728,0.004141616022682849
df2,0.45,True,0.45,0.0,1.0,0.0,1.0,0.07878621142814381,0.07756275545216895,4.744554514611211e-10,3.354556648869493e-09,1.0,0.0,1.5878213015553681e-55,7.398666983573675e-55,0.07878621142814381,0.07756275545216895,4.744554514611211e-10,3.354556648869493e-09,1.0,0.0,1.5878213015553681e-55,7.398666983573675e-55,0.919069972038269,0.003121597306060642,0.8955541229248047,0.004398801304298651
df2,0.5,True,0.5,0.0,1.0,0.0,1.0,0.0583151557992607,0.07016506371517765,1.0275856259120102e-17,4.306533348605666e-17,1.0,0.0,4.544993961337183e-72,3.2066874047422738e-71,0.0583151557992607,0.07016506371517765,1.0275856259120102e-17,4.306533348605666e-17,1.0,0.0,4.544993961337183e-72,3.2066874047422738e-71,0.9178596842288971,0.0033665509114502823,0.8910446739196778,0.004382807184457775
df2,0.55,True,0.55,0.0,1.0,0.0,1.0,0.019041128307617193,0.025744418055043097,1.700183728431255e-18,1.002509296324978e-17,1.0,0.0,1.063493854074223e-84,7.448926238338544e-84,0.019041128307617193,0.025744418055043097,1.700183728431255e-18,1.002509296324978e-17,1.0,0.0,1.063493854074223e-84,7.448926238338544e-84,0.9181040143966674,0.0035682331618117217,0.8860869419574737,0.004554648346255381
df2,0.6000000000000001,True,0.6000000000000001,0.0,1.0,0.0,1.0,0.0029888613705615808,0.004096026861424954,2.7564979699445084e-25,1.931390041056852e-24,1.0,0.0,6.472160965300403e-99,4.112853210007623e-98,0.0029888613705615808,0.004096026861424954,2.7564979699445084e-25,1.931390041056852e-24,1.0,0.0,6.472160965300403e-99,4.112853210007623e-98,0.9182913935184479,0.004226477139285823,0.8779108691215515,0.00371350982805607
df2,0.65,True,0.65,0.0,1.0,0.0,1.0,0.0007176839325355361,0.0020035093813875558,1.2542222620639035e-29,7.366816542838034e-29,1.0,0.0,1.0607055821008877e-124,4.810924287432414e-124,0.0007176839325355361,0.0020035093813875558,1.2542222620639035e-29,7.366816542838034e-29,1.0,0.0,1.0607055821008877e-124,4.810924287432414e-124,0.9177360939979553,0.003630795637483988,0.8703535854816437,0.004917273870953981
df2,0.7000000000000001,True,0.7000000000000001,0.0,1.0,0.0,1.0,7.497062032803594e-05,0.00018587351533664966,1.6253657164532174e-29,1.1490230125674573e-28,1.0,0.0,2.6276293223937657e-135,1.823928778156081e-134,7.497062032803594e-05,0.00018587351533664966,1.6253657164532174e-29,1.1490230125674573e-28,1.0,0.0,2.6276293223937657e-135,1.823928778156081e-134,0.9185647881031036,0.0033467071752370384,0.8633991241455078,0.004195076480511403
df2,0.75,True,0.75,0.0,1.0,0.0,1.0,1.9683776694779128e-06,4.543314521097574e-06,1.431383572995029e-38,9.840707003992916e-38,1.0,0.0,9.905826108049894e-156,7.003308259870877e-155,1.9683776694779128e-06,4.543314521097574e-06,1.431383572995029e-38,9.840707003992916e-38,1.0,0.0,9.905826108049894e-156,7.003308259870877e-155,0.9174191772937774,0.003578938631094578,0.8556533944606781,0.004362032697977196
df2,0.8,True,0.8,0.0,1.0,0.0,1.0,3.2770929898005216e-08,1.1951762737630436e-07,4.575923634962653e-45,3.2337210105253467e-44,1.0,0.0,1.1936896388270544e-173,0.0,3.2770929898005216e-08,1.1951762737630436e-07,4.575923634962653e-45,3.2337210105253467e-44,1.0,0.0,1.1936896388270544e-173,0.0,0.918699278831482,0.004007054103815076,0.8461618518829346,0.005201200363675576
