setting,delta,valid_cov,mu1,mu2,cov11,cov12,cov22,pval_mean,pval_std,pval_base_mean,pval_base_std,pval_recon_mean,pval_recon_std,pval_uniform_mean,pval_uniform_std,pval_label_mean,pval_label_std,ks_p_prop_mean,ks_p_prop_std,ks_p_base_mean,ks_p_base_std,ks_p_recon_mean,ks_p_recon_std,ks_p_uniform_mean,ks_p_uniform_std,label_prob_base_mean,label_prob_base_std,label_prob_shift_mean,label_prob_shift_std
df2,0.9500000000000001,True,0.9500000000000001,0.0,1.0,0.0,1.0,1.953007388444007e-07,7.48512664539263e-07,2.141054245180879e-28,1.5097032301524736e-27,1.6860109329670725e-84,7.49337176521137e-84,2.6411334584667038e-98,1.368850921373079e-97,2.204879224979117e-25,9.890941524804408e-25,1.953007388444007e-07,7.48512664539263e-07,2.141054245180879e-28,1.5097032301524736e-27,1.6860109329670725e-84,7.49337176521137e-84,2.6411334584667038e-98,1.368850921373079e-97,0.9179791688919068,0.0054925900860884275,0.810893007516861,0.008490400210593984
df2,1.0,True,1.0,0.0,1.0,0.0,1.0,1.715700549073425e-09,7.277648852725286e-09,3.680637538962898e-33,2.5762639643044174e-32,2.4375660951068393e-90,1.722388621009744e-89,4.662903331891342e-112,3.2967127997158784e-111,7.762197128838987e-31,5.227282568793884e-30,1.715700549073425e-09,7.277648852725286e-09,3.680637538962898e-33,2.5762639643044174e-32,2.4375660951068393e-90,1.722388621009744e-89,4.662903331891342e-112,3.2967127997158784e-111,0.9190625786781311,0.005121913075731833,0.801649569272995,0.008634108441360866
df3,0.0,True,-1.0,0.0,1.0,0.0,1.0,0.47707153440533373,0.26056993307208676,0.5478690548285325,0.29084475588828534,0.5363349248141114,0.281130460837976,0.5613508865371213,0.2779560490740442,9.055460661561168e-32,6.269097532703314e-31,0.47707153440533373,0.26056993307208676,0.5478690548285325,0.29084475588828534,0.5363349248141114,0.281130460837976,0.5613508865371213,0.2779560490740442,0.8026676034927368,0.008666369905962175,0.801820513010025,0.0071319121379064205
df3,0.05,True,-1.0,0.05,1.0,0.0,1.0,0.3229711031219418,0.26988151739146343,0.4136924230348389,0.2934006420832093,0.47375455510082143,0.3181318157313238,0.4207977091331599,0.30033830267185657,2.646282539510285e-33,1.7112872307798958e-32,0.3229711031219418,0.26988151739146343,0.4136924230348389,0.2934006420832093,0.47375455510082143,0.3181318157313238,0.4207977091331599,0.30033830267185657,0.8001619839668274,0.009126782727270702,0.802775764465332,0.00579356653731226
df3,0.1,True,-1.0,0.1,1.0,0.0,1.0,0.06771291230952872,0.12795042031278867,0.43293913024989167,0.26424504251631253,0.15436823498553462,0.21044327635993865,0.2724255595711932,0.28838309690987773,5.1806057387090475e-27,3.62297824925887e-26,0.06771291230952872,0.12795042031278867,0.43293913024989167,0.26424504251631253,0.15436823498553462,0.21044327635993865,0.2724255595711932,0.28838309690987773,0.8024461114406586,0.008468801476924241,0.805359593629837,0.010121311917349185
df3,0.15000000000000002,True,-1.0,0.15000000000000002,1.0,0.0,1.0,0.013456110331231154,0.046210742367606486,0.3275785735435999,0.22674481450506281,0.07175978406256114,0.1610113079596085,0.1688453447242554,0.22612590707944824,2.8019964305036833e-30,1.1718330609863168e-29,0.013456110331231154,0.046210742367606486,0.3275785735435999,0.22674481450506281,0.07175978406256114,0.1610113079596085,0.1688453447242554,0.22612590707944824,0.8003963267803192,0.009012762947454695,0.8040645265579224,0.008644048849566375
df3,0.2,True,-1.0,0.2,1.0,0.0,1.0,0.0007846505531357181,0.0038834395630085936,0.38116409718899574,0.2925160859318057,0.0048684304855210825,0.011819529684078569,0.056754129956087036,0.09324103784748765,6.75607836933088e-23,4.777265395291022e-22,0.0007846505531357181,0.0038834395630085936,0.38116409718899574,0.2925160859318057,0.0048684304855210825,0.011819529684078569,0.056754129956087036,0.09324103784748765,0.8028221666812897,0.008244249877288591,0.8043250560760498,0.008581127737350864
df3,0.25,True,-1.0,0.25,1.0,0.0,1.0,9.530398808061721e-05,0.0006657202422475765,0.24128831453135485,0.17858764432496313,0.002040002268836183,0.009388542646947079,0.020233249613630634,0.0829209269870075,7.773160732491446e-28,4.9551693329913056e-27,9.530398808061721e-05,0.0006657202422475765,0.24128831453135485,0.17858764432496313,0.002040002268836183,0.009388542646947079,0.020233249613630634,0.0829209269870075,0.8010504865646362,0.0071188914384749296,0.804728010892868,0.00884726444073119
df3,0.30000000000000004,True,-1.0,0.30000000000000004,1.0,0.0,1.0,1.727555457859089e-07,8.549088498111849e-07,0.1921462978432084,0.1863842270554552,0.0001201006520589485,0.0005607599845952805,0.012211023434919605,0.04162554544079836,7.025958692214268e-28,4.952099086672633e-27,1.727555457859089e-07,8.549088498111849e-07,0.1921462978432084,0.1863842270554552,0.0001201006520589485,0.0005607599845952805,0.012211023434919605,0.04162554544079836,0.8024227440357208,0.00882745653631733,0.803346688747406,0.008240803197779312
df3,0.35000000000000003,True,-1.0,0.35000000000000003,1.0,0.0,1.0,9.929144253434245e-11,6.91987159137246e-10,0.11141394179315704,0.13364418814336584,3.1595541247603677e-06,1.589491230646076e-05,0.0008081229078036432,0.0019218570604547622,6.94084352290755e-26,4.907412104424295e-25,9.929144253434245e-11,6.91987159137246e-10,0.11141394179315704,0.13364418814336584,3.1595541247603677e-06,1.589491230646076e-05,0.0008081229078036432,0.0019218570604547622,0.8025585603713989,0.009729873342835347,0.80637291431427,0.008210151758997851
